Date,Open,High,Low,Close
04-Dec-20,17332.05,17449.29,17289.56,17432.23
03-Dec-20,17336.18,17348.73,17260.84,17294.93
02-Dec-20,17229.68,17243.56,17072.24,17232.67
01-Dec-20,17120.54,17212.61,17028.6,17188.31
27-Nov-20,16980.63,17059.12,16932.09,16995.01
26-Nov-20,16824.91,16972.89,16712.67,16941.87
25-Nov-20,17110.22,17134.36,16751.36,16776.91
24-Nov-20,16970.97,17048.47,16948.43,17026.4
23-Nov-20,16851,16911.27,16765.17,16871.37
20-Nov-20,16676.45,16787.07,16589.42,16750.03
19-Nov-20,16726,16873.97,16591.5,16623.99
18-Nov-20,16715.2,16815.65,16652.81,16804.39
17-Nov-20,16706.33,16724.3,16604.83,16702.68
14-Nov-20,16627.91,16635.71,16539.57,16575.09
13-Nov-20,16398.43,16499.6,16341.53,16490.33
12-Nov-20,16364.24,16459.18,16345.53,16419.38
11-Nov-20,16362.79,16471.34,16245.01,16440.11
10-Nov-20,16274,16314.49,16163.4,16302.05
09-Nov-20,16065.3,16167.23,16037.51,16154.87
06-Nov-20,15813.39,15944.94,15801.32,15927.38
05-Nov-20,15656.11,15783.22,15649.42,15776.32
04-Nov-20,15380.98,15528.52,15333.44,15508.25
03-Nov-20,15317.06,15426.43,15313.51,15394.89
02-Nov-20,15303.99,15304.01,15125.4,15236.96
30-Oct-20,15263.18,15344.84,15089.86,15215.01
29-Oct-20,15153.91,15304.14,15137.93,15235.82
28-Oct-20,15526.71,15534.47,15250.72,15291.29
27-Oct-20,15346.02,15492.62,15261.34,15484.29
26-Oct-20,15549.66,15564.1,15270.63,15330.08
23-Oct-20,15551.81,15581.52,15518.26,15539.3
22-Oct-20,15455.29,15512.31,15390.83,15487.76
21-Oct-20,15543.36,15602.91,15308.21,15499.84
20-Oct-20,15418.59,15504.53,15381.29,15463.33
19-Oct-20,15397.56,15433.79,15355.71,15424.93
16-Oct-20,15235.04,15305.35,15153.52,15288.93
15-Oct-20,15582.07,15582.07,15147.06,15167.7
14-Oct-20,15466.71,15536.46,15342.96,15508.65
13-Oct-20,15486.92,15545.71,15435.07,15468.47
12-Oct-20,15564,15606.91,15408.76,15480.5
09-Oct-20,15460.81,15533.79,15402.18,15498.18
08-Oct-20,15449.88,15510.01,15378.72,15435.38
07-Oct-20,15319.3,15374.64,15252.83,15343.36
06-Oct-20,15244.83,15308.17,15204.48,15295.38
05-Oct-20,15134.43,15202.22,15063.59,15126.05
01-Oct-20,14972.47,15056.91,14972.47,15038.24
30-Sep-20,14857.22,14904.76,14776.42,14851
29-Sep-20,14920.53,14947.4,14767.54,14819.57
28-Sep-20,14697.29,14849.92,14648.77,14834.26
25-Sep-20,14364.47,14582.38,14290,14557.67
24-Sep-20,14458.38,14465.21,14200.86,14221.19
23-Sep-20,14787.21,14797.61,14479.04,14617.61
22-Sep-20,14836.75,14841.83,14495.34,14652.22
21-Sep-20,15207.8,15235.38,14766.17,14804.2
18-Sep-20,15294.69,15305.79,15140.61,15202.64
17-Sep-20,15261.94,15302.2,15193.01,15211.61
16-Sep-20,15267.77,15324.79,15225.47,15313.21
15-Sep-20,15151.93,15232.98,15126.25,15217.34
14-Sep-20,15107.37,15220.94,15017.42,15088.37
11-Sep-20,14989.04,15035.4,14950.7,15012.16
10-Sep-20,14877.2,14984.5,14849.94,14973.23
09-Sep-20,14697.13,14785.83,14626.38,14764.14
08-Sep-20,14933.15,14991.91,14785.7,14820.99
07-Sep-20,14893.22,14962.58,14784.75,14899.35
04-Sep-20,14878.08,15053.88,14861.05,14897.1
03-Sep-20,15161.33,15193.76,15122.16,15145.3
02-Sep-20,15022.27,15145.09,14980.55,15122.35
01-Sep-20,14923.23,15059.11,14864.92,15006.09
31-Aug-20,15441.97,15480.45,14815.5,14890.06
28-Aug-20,15276.42,15369.01,15273,15309.58
27-Aug-20,15268.55,15284.51,15198.95,15217.07
26-Aug-20,15148.79,15202.66,15098.72,15191.47
25-Aug-20,15154.46,15173.19,15038.93,15103.03
24-Aug-20,15033.38,15120.04,15027.83,15081.94
21-Aug-20,14978.25,15031.62,14954.66,14965.72
20-Aug-20,14857.62,14926.9,14815.56,14878.77
