Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-November-2018,192.90,200.75,192.00,195.40,197.125850949832067021,1528586,9644,301323816.00,364091,23.82,8.75,2.50
7-November-2018,196.50,196.50,193.60,195.10,194.859938729822080829,509220,4885,99226578.00,244488,48.01,2.90,-1.40
6-November-2018,192.00,199.30,191.30,192.85,195.929201237958387650,2610427,16871,511458877.00,392085,15.02,8.00,0.85
5-November-2018,191.40,191.75,186.70,189.65,188.911018454413682766,1542612,9177,291416404.00,349667,22.67,5.05,-1.75
2-November-2018,181.50,191.40,181.00,190.00,187.668132650680337709,5190143,19464,974024445.00,2156118,41.54,10.40,8.50
1-November-2018,179.20,186.05,177.40,178.75,181.492620007794188313,3369177,21329,611480761.00,540628,16.05,8.65,-0.45
31-October-2018,178.40,179.70,173.50,178.65,175.974893655627613568,1554149,9577,273491205.00,252235,16.23,6.20,0.25
30-October-2018,177.70,181.45,176.00,177.30,178.511263723008334325,1554415,11433,277480586.00,310936,20.00,5.45,-0.40
29-October-2018,169.10,176.45,167.95,175.35,173.281186845422185485,1362233,8637,236049351.00,249986,18.35,8.50,6.25
26-October-2018,166.10,172.80,165.80,168.85,169.636700016994497266,2124217,12249,360345162.00,426672,20.09,7.00,2.75
25-October-2018,168.30,169.50,164.55,165.40,166.940746165730965522,1519716,10994,253702523.00,357827,23.55,4.95,-2.90
24-October-2018,172.55,175.10,169.10,170.55,170.973972472808830724,1729054,10089,295623231.00,550653,31.85,6.00,-2.00
23-October-2018,170.00,175.70,169.80,170.65,172.246832755594254034,1582606,9711,272598871.00,382539,24.17,5.90,0.65
22-October-2018,176.80,176.95,170.00,170.55,171.792992415804567361,1638539,11094,281489518.00,542622,33.12,6.95,-6.25
19-October-2018,179.25,180.00,174.25,174.80,176.360386788188644276,1322998,9971,233324439.00,311114,23.52,5.75,-4.45
17-October-2018,188.40,188.80,177.95,179.20,181.552732365353443093,1972906,12236,358186475.00,699697,35.47,10.85,-9.20
16-October-2018,184.60,187.20,184.60,185.50,185.894071598323433102,1269499,8334,235992338.00,456706,35.98,2.60,0.90
15-October-2018,185.70,186.35,182.80,184.30,184.314361241526742345,1182544,7587,217959842.00,281901,23.84,3.55,-1.40
12-October-2018,186.00,188.20,182.75,183.40,184.885652793820386947,1773056,13799,327812616.00,467199,26.35,5.45,-2.60
11-October-2018,184.75,187.75,178.10,182.75,184.084243950983953807,2259913,15715,416014376.00,536041,23.72,9.65,-2.00
10-October-2018,186.00,190.80,185.00,188.75,187.893715176521629421,5564134,26657,1045465809.00,2300610,41.35,5.80,2.75
